source_location,canonical_location,description
atelier,atelier,Atelier inventory location
stockcrew_warehouse,stockcrew_warehouse,StockCrew warehouse
square_store,square_store,Square POS store
amazon_fba,amazon_fba,Amazon FBA
event,event,Pop-up / event sales location
